timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
0001547131010502681,7,51.762042,-1.262751,65.176138,0.766980,0.683444,0.955170,5736000.133896,619890.113928,-65.176138,30U
0001547131010702733,7,51.762042,-1.262751,65.178802,0.761020,0.676749,0.950388,5736000.135991,619890.119947,-65.178802,30U
0001547131010902785,7,51.762042,-1.262751,65.178116,0.762661,0.678594,0.951703,5736000.135105,619890.117724,-65.178116,30U
0001547131011102837,7,51.762042,-1.262751,65.177340,0.764298,0.680433,0.953015,5736000.134311,619890.115771,-65.177340,30U
0001547131011302890,7,51.762041,-1.262751,65.176648,0.765932,0.682268,0.954326,5736000.133429,619890.113639,-65.176648,30U
0001547131011502942,7,51.762041,-1.262751,65.176092,0.767562,0.684098,0.955635,5736000.132597,619890.111577,-65.176092,30U
0001547131011702994,7,51.762042,-1.262751,65.177908,0.761608,0.677409,0.950857,5736000.135633,619890.120360,-65.177908,30U
0001547131011902238,7,51.762042,-1.262751,65.177564,0.763247,0.679252,0.952170,5736000.134755,619890.118344,-65.177564,30U
0001547131012102234,7,51.762042,-1.262751,65.177257,0.764883,0.681090,0.953482,5736000.133762,619890.116395,-65.177257,30U
0001547131012302286,7,51.762041,-1.262751,65.177046,0.766516,0.682923,0.954792,5736000.132709,619890.114304,-65.177046,30U
0001547131012502338,7,51.762041,-1.262751,65.176816,0.768145,0.684751,0.956101,5736000.131494,619890.112164,-65.176816,30U
0001547131012702390,7,51.762042,-1.262751,65.177295,0.762196,0.678069,0.951326,5736000.136350,619890.120853,-65.177295,30U
0001547131012902442,7,51.762042,-1.262751,65.176801,0.763834,0.679910,0.952639,5736000.135120,619890.118748,-65.176801,30U
0001547131013102494,7,51.762042,-1.262751,65.176380,0.765469,0.681746,0.953950,5736000.133838,619890.116700,-65.176380,30U
0001547131013302244,7,51.762041,-1.262751,65.176002,0.767100,0.683577,0.955260,5736000.132681,619890.114603,-65.176002,30U
0001547131013502296,7,51.762041,-1.262751,65.175649,0.768728,0.685403,0.956567,5736000.131423,619890.112393,-65.175649,30U
0001547131013702348,7,51.762042,-1.262751,65.177614,0.762783,0.678729,0.951795,5736000.136583,619890.118577,-65.177614,30U
0001547131013902400,7,51.762042,-1.262751,65.177412,0.764420,0.680568,0.953108,5736000.135416,619890.116573,-65.177412,30U
0001547131014102452,7,51.762042,-1.262751,65.177259,0.766054,0.682402,0.954418,5736000.134201,619890.114530,-65.177259,30U
0001547131014302504,7,51.762041,-1.262751,65.177039,0.767684,0.684232,0.955727,5736000.132804,619890.112366,-65.177039,30U
0001547131014502556,7,51.762041,-1.262751,65.176875,0.769310,0.686056,0.957034,5736000.131338,619890.110188,-65.176875,30U
0001547131014702608,7,51.762042,-1.262751,65.175413,0.763371,0.679389,0.952265,5736000.137449,619890.120442,-65.175413,30U
